income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
2.0,3.0,5.0,6.0,50.0,55.0,1
9.0,10.0,1.0,2.0,40.0,45.0,67
0.0,1.0,7.0,8.0,40.0,45.0,36
0.0,1.0,12.0,13.0,70.0,75.0,20
9.0,10.0,9.0,10.0,70.0,75.0,1676
11.0,12.000000099999999,5.0,6.0,20.0,25.0,2
8.0,9.0,8.0,9.0,50.0,55.0,66
6.0,7.0,9.0,10.0,50.0,55.0,39
9.0,10.0,1.0,2.0,90.0,95.0,25
7.0,8.0,11.0,12.0,60.0,65.0,28
11.0,12.000000099999999,3.0,4.0,75.0,80.0,1
2.0,3.0,3.0,4.0,55.0,60.0,1
10.0,11.0,10.0,11.0,55.0,60.0,480
11.0,12.000000099999999,9.0,10.0,40.0,45.0,509
2.0,3.0,9.0,10.0,30.0,35.0,2
7.0,8.0,3.0,4.0,75.0,80.0,3
0.0,1.0,16.0,17.000000100000001,60.0,65.0,12
8.0,9.0,7.0,8.0,85.0,90.0,17
0.0,1.0,16.0,17.000000100000001,45.0,50.0,11
6.0,7.0,16.0,17.000000100000001,45.0,50.0,2
10.0,11.0,16.0,17.000000100000001,50.0,55.0,149
2.0,3.0,9.0,10.0,50.0,55.0,1
5.0,6.0,1.0,2.0,85.0,90.0,1
8.0,9.0,8.0,9.0,25.0,30.0,71
11.0,12.000000099999999,10.0,11.0,70.0,75.0,31
10.0,11.0,14.0,15.0,20.0,25.0,78
9.0,10.0,12.0,13.0,60.0,65.0,131
6.0,7.0,15.0,16.0,45.0,50.0,3
0.0,1.0,4.0,5.0,45.0,50.0,42
6.0,7.0,13.0,14.0,70.0,75.0,6
11.0,12.000000099999999,11.0,12.0,65.0,70.0,100
0.0,1.0,15.0,16.0,70.0,75.0,1
1.0,2.0,6.0,7.0,65.0,70.0,1
8.0,9.0,3.0,4.0,70.0,75.0,76
7.0,8.0,15.0,16.0,55.0,60.0,4
9.0,10.0,7.0,8.0,90.0,95.0,30
8.0,9.0,16.0,17.000000100000001,55.0,60.0,5
10.0,11.0,10.0,11.0,90.0,95.0,8
1.0,2.0,14.0,15.0,30.0,35.0,2
8.0,9.0,7.0,8.0,15.0,20.0,561
0.0,1.0,7.0,8.0,35.0,40.0,49
0.0,1.0,3.0,4.0,75.0,80.0,15
9.0,10.0,7.0,8.0,65.0,70.0,128
8.0,9.0,15.0,16.0,60.0,65.0,9
11.0,12.000000099999999,2.0,3.0,75.0,80.0,1
8.0,9.0,10.0,11.0,20.0,25.0,208
5.0,6.0,15.0,16.0,35.0,40.0,7
7.0,8.0,5.0,6.0,65.0,70.0,5
4.0,5.0,9.0,10.0,20.0,25.0,5
10.0,11.0,8.0,9.0,75.0,80.0,88
9.0,10.0,3.0,4.0,80.0,85.0,104
7.0,8.0,1.0,2.0,55.0,60.0,12
1.0,2.0,13.0,14.0,30.0,35.0,3
0.0,1.0,8.0,9.0,85.0,90.0,16
8.0,9.0,1.0,2.0,85.0,90.0,33
4.0,5.0,10.0,11.0,55.0,60.0,1
10.0,11.0,4.0,5.0,60.0,65.0,98
11.0,12.000000099999999,13.0,14.0,40.0,45.0,1923
5.0,6.0,6.0,7.0,60.0,65.0,4
0.0,1.0,9.0,10.0,15.0,20.0,426
0.0,1.0,8.0,9.0,45.0,50.0,70
11.0,12.000000099999999,8.0,9.0,20.0,25.0,6
1.0,2.0,14.0,15.0,40.0,45.0,1
7.0,8.0,7.0,8.0,55.0,60.0,1
0.0,1.0,9.0,10.0,85.0,90.0,97
8.0,9.0,9.0,10.0,15.0,20.0,764
5.0,6.0,10.0,11.0,45.0,50.0,6
0.0,1.0,2.0,3.0,85.0,90.0,6
10.0,11.0,14.0,15.0,70.0,75.0,320
4.0,5.0,11.0,12.0,85.0,90.0,1
11.0,12.000000099999999,11.0,12.0,45.0,50.0,451
10.0,11.0,6.0,7.0,30.0,35.0,110
5.0,6.0,14.0,15.0,50.0,55.0,4
9.0,10.0,7.0,8.0,75.0,80.0,183
10.0,11.0,6.0,7.0,85.0,90.0,23
11.0,12.000000099999999,3.0,4.0,60.0,65.0,5
9.0,10.0,15.0,16.0,60.0,65.0,47
0.0,1.0,8.0,9.0,80.0,85.0,25
8.0,9.0,4.0,5.0,70.0,75.0,185
5.0,6.0,5.0,6.0,15.0,20.0,10
1.0,2.0,5.0,6.0,25.0,30.0,1
3.0,4.0,14.0,15.0,30.0,35.0,1
6.0,7.0,11.0,12.0,20.0,25.0,210
9.0,10.0,8.0,9.0,85.0,90.0,119
4.0,5.0,13.0,14.0,60.0,65.0,3
5.0,6.0,10.0,11.0,60.0,65.0,3
5.0,6.0,14.0,15.0,30.0,35.0,5
0.0,1.0,5.0,6.0,60.0,65.0,36
9.0,10.0,12.0,13.0,20.0,25.0,389
6.0,7.0,6.0,7.0,80.0,85.0,1
