income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
0.0,1.0,16.0,17.000000100000001,60.0,65.0,14.392265172482723
8.0,9.0,7.0,8.0,85.0,90.0,17.11172901254086
0.0,1.0,16.0,17.000000100000001,45.0,50.0,10.855224083187247
6.0,7.0,16.0,17.000000100000001,45.0,50.0,3.3649554879298123
10.0,11.0,16.0,17.000000100000001,50.0,55.0,150.9250827446045
2.0,3.0,9.0,10.0,50.0,55.0,6.565247095821315
5.0,6.0,1.0,2.0,85.0,90.0,-1.1208168974246226
8.0,9.0,8.0,9.0,25.0,30.0,66.863211714536
11.0,12.000000099999999,10.0,11.0,70.0,75.0,30.389949935986174
10.0,11.0,14.0,15.0,20.0,25.0,80.53406145687389
9.0,10.0,12.0,13.0,60.0,65.0,133.20455457248727
6.0,7.0,15.0,16.0,45.0,50.0,3.6579966356437645
0.0,1.0,4.0,5.0,45.0,50.0,45.44360071216987
6.0,7.0,13.0,14.0,70.0,75.0,5.688127694057821
11.0,12.000000099999999,11.0,12.0,65.0,70.0,104.58704251469439
0.0,1.0,15.0,16.0,70.0,75.0,-0.036565293241874075
1.0,2.0,6.0,7.0,65.0,70.0,0.5021927642754989
8.0,9.0,3.0,4.0,70.0,75.0,78.6110645052504
7.0,8.0,15.0,16.0,55.0,60.0,2.783768198939003
9.0,10.0,7.0,8.0,90.0,95.0,28.338345042744997
8.0,9.0,16.0,17.000000100000001,55.0,60.0,6.018731470675246
10.0,11.0,10.0,11.0,90.0,95.0,9.545190774266235
1.0,2.0,14.0,15.0,30.0,35.0,-5.932020712444606
8.0,9.0,7.0,8.0,15.0,20.0,560.5644385234103
0.0,1.0,7.0,8.0,35.0,40.0,56.16523257138036
0.0,1.0,3.0,4.0,75.0,80.0,16.005000995272876
9.0,10.0,7.0,8.0,65.0,70.0,127.29233730880873
8.0,9.0,15.0,16.0,60.0,65.0,6.148276488497139
11.0,12.000000099999999,2.0,3.0,75.0,80.0,-0.5085490660922822
8.0,9.0,10.0,11.0,20.0,25.0,205.88188084864657
5.0,6.0,15.0,16.0,35.0,40.0,4.2134891829620535
7.0,8.0,5.0,6.0,65.0,70.0,6.787642693982447
4.0,5.0,9.0,10.0,20.0,25.0,10.291441867308134
10.0,11.0,8.0,9.0,75.0,80.0,82.37087931919082
9.0,10.0,3.0,4.0,80.0,85.0,97.04875128400849
7.0,8.0,1.0,2.0,55.0,60.0,7.647024623650447
1.0,2.0,13.0,14.0,30.0,35.0,0.26626479243621715
0.0,1.0,8.0,9.0,85.0,90.0,15.13042893164707
8.0,9.0,1.0,2.0,85.0,90.0,26.97406323839569
4.0,5.0,10.0,11.0,55.0,60.0,5.387206431687925
10.0,11.0,4.0,5.0,60.0,65.0,96.01990595232907
11.0,12.000000099999999,13.0,14.0,40.0,45.0,1923.540654262671
5.0,6.0,6.0,7.0,60.0,65.0,7.442338607151068
0.0,1.0,9.0,10.0,15.0,20.0,426.1968576203524
0.0,1.0,8.0,9.0,45.0,50.0,69.24419968146924
11.0,12.000000099999999,8.0,9.0,20.0,25.0,6.355656465935115
1.0,2.0,14.0,15.0,40.0,45.0,2.145135007499856
7.0,8.0,7.0,8.0,55.0,60.0,-0.678633574424111
0.0,1.0,9.0,10.0,85.0,90.0,94.80903216817863
8.0,9.0,9.0,10.0,15.0,20.0,758.4399760261189
5.0,6.0,10.0,11.0,45.0,50.0,4.725123355612288
0.0,1.0,2.0,3.0,85.0,90.0,7.854442968966914
10.0,11.0,14.0,15.0,70.0,75.0,319.86894306186696
4.0,5.0,11.0,12.0,85.0,90.0,2.4093254264460557
11.0,12.000000099999999,11.0,12.0,45.0,50.0,448.9571220040328
10.0,11.0,6.0,7.0,30.0,35.0,106.8324649545668
5.0,6.0,14.0,15.0,50.0,55.0,1.2314707161297882
9.0,10.0,7.0,8.0,75.0,80.0,184.0268239299031
10.0,11.0,6.0,7.0,85.0,90.0,24.009610689094252
11.0,12.000000099999999,3.0,4.0,60.0,65.0,4.105162382788286
9.0,10.0,15.0,16.0,60.0,65.0,46.382190305284546
0.0,1.0,8.0,9.0,80.0,85.0,19.806539060633952
8.0,9.0,4.0,5.0,70.0,75.0,182.79746719318717
5.0,6.0,5.0,6.0,15.0,20.0,10.33183366195221
1.0,2.0,5.0,6.0,25.0,30.0,0.9586708357202521
3.0,4.0,14.0,15.0,30.0,35.0,-3.338498981802016
