defense_type,defense_factor,successes,false_positives,false_negatives,success_rate,root_mse
1.0,52.0,68.299999999999997,4.7000000000000002,27.0,0.68300000000000005,10.47469094473678
1.0,53.0,67.200000000000003,4.7999999999999998,28.0,0.67200000000000004,11.397968255389468
1.0,54.0,67.200000000000003,5.4000000000000004,27.399999999999999,0.67199999999999993,12.67742027139194
1.0,55.0,67.599999999999994,5.0999999999999996,27.300000000000001,0.67599999999999993,13.927750286085125
1.0,56.0,70.0,4.7999999999999998,25.199999999999999,0.69999999999999996,15.034679977137142
1.0,57.0,70.200000000000003,5.0999999999999996,24.699999999999999,0.70199999999999996,16.393288081694916
1.0,58.0,67.099999999999994,5.7999999999999998,27.100000000000001,0.67100000000000004,18.107231601307706
1.0,59.0,67.700000000000003,5.0999999999999996,27.199999999999999,0.67699999999999994,19.001012129020836
1.0,60.0,69.700000000000003,5.5,24.800000000000001,0.69700000000000006,20.480139851653703
1.0,61.0,70.099999999999994,4.0999999999999996,25.800000000000001,0.70099999999999996,21.694659142092831
1.0,62.0,68.700000000000003,5.2999999999999998,26.0,0.68700000000000006,23.215825806923974
1.0,63.0,69.5,5.0999999999999996,25.399999999999999,0.69500000000000006,24.355192755852453
1.0,64.0,70.400000000000006,5.0999999999999996,24.5,0.70399999999999996,25.553325674795349
1.0,65.0,69.299999999999997,5.2999999999999998,25.399999999999999,0.69299999999999995,27.016443769006038
1.0,66.0,69.299999999999997,5.2999999999999998,25.399999999999999,0.69300000000000006,28.561183799861261
1.0,67.0,71.599999999999994,4.2000000000000002,24.199999999999999,0.71599999999999997,29.873889472754019
1.0,68.0,71.599999999999994,4.5999999999999996,23.800000000000001,0.71599999999999997,31.134394554997026
1.0,69.0,69.0,4.4000000000000004,26.600000000000001,0.69000000000000006,32.279048078604035
1.0,70.0,69.0,4.7999999999999998,26.199999999999999,0.68999999999999995,33.983908802565054
1.0,71.0,68.799999999999997,4.7000000000000002,26.5,0.68799999999999994,34.924476203729867
1.0,72.0,66.5,4.4000000000000004,29.100000000000001,0.66500000000000004,36.783058741618689
1.0,73.0,70.0,4.5999999999999996,25.399999999999999,0.69999999999999996,37.880220827291481
1.0,74.0,67.799999999999997,4.0,28.199999999999999,0.67799999999999994,39.327334821911158
1.0,75.0,66.799999999999997,3.7000000000000002,29.5,0.66799999999999993,40.828884346693222
1.0,76.0,65.400000000000006,2.6000000000000001,32.0,0.65400000000000003,42.18330823383409
1.0,77.0,63.0,4.2999999999999998,32.700000000000003,0.63,43.344221473912569
1.0,78.0,62.5,2.8999999999999999,34.600000000000001,0.625,44.657584671899215
1.0,79.0,60.399999999999999,3.7000000000000002,35.899999999999999,0.60399999999999998,46.155039253969406
1.0,80.0,63.600000000000001,2.7999999999999998,33.600000000000001,0.63600000000000001,47.14866042309302
1.0,81.0,64.599999999999994,2.0,33.399999999999999,0.64600000000000013,48.524457794084654
1.0,82.0,59.700000000000003,2.3999999999999999,37.899999999999999,0.59699999999999998,49.755726169425131
1.0,83.0,63.0,2.5,34.5,0.63000000000000012,50.926884707463749
1.0,84.0,60.5,2.1000000000000001,37.399999999999999,0.60499999999999998,51.963713162271382
1.0,85.0,58.600000000000001,1.5,39.899999999999999,0.58600000000000008,53.351279637050482
1.0,86.0,60.0,2.2999999999999998,37.700000000000003,0.59999999999999998,54.313425444877836
1.0,87.0,59.0,1.8,39.200000000000003,0.58999999999999997,55.142380003546918
1.0,88.0,57.299999999999997,1.7,41.0,0.57300000000000006,56.279722129936395
1.0,89.0,58.100000000000001,1.2,40.700000000000003,0.58100000000000007,57.112667738377787
1.0,90.0,57.5,1.8,40.700000000000003,0.57500000000000007,58.027580490345464
1.0,91.0,60.0,1.3999999999999999,38.600000000000001,0.60000000000000009,59.108228665561569
1.0,92.0,56.600000000000001,1.7,41.700000000000003,0.56600000000000006,59.667304756658311
1.0,93.0,56.799999999999997,2.0,41.200000000000003,0.56799999999999995,60.649182616366282
1.0,94.0,54.899999999999999,2.3999999999999999,42.700000000000003,0.54900000000000004,60.931932319011608
1.0,95.0,53.700000000000003,2.2000000000000002,44.100000000000001,0.53700000000000014,61.79252780674225
1.0,96.0,56.899999999999999,1.1000000000000001,42.0,0.56900000000000006,62.264786482467947
1.0,97.0,56.200000000000003,1.5,42.299999999999997,0.56200000000000006,62.657320580393858
1.0,98.0,54.899999999999999,1.3999999999999999,43.700000000000003,0.54900000000000004,63.414825175251124
1.0,99.0,52.299999999999997,2.2000000000000002,45.5,0.52300000000000002,63.685859295252556
1.0,100.0,54.700000000000003,1.3,44.0,0.54699999999999993,64.02420158704453
2.0,1.0,98.599999999999994,0.29999999999999999,1.1000000000000001,0.98599999999999999,1.3834826261002289
2.0,2.0,89.799999999999997,0.20000000000000001,10.0,0.89800000000000002,2.8464013331220412
2.0,3.0,80.299999999999997,1.7,18.0,0.80299999999999994,4.2263277732366387
2.0,4.0,72.599999999999994,1.5,25.899999999999999,0.72599999999999998,5.6581756468097977
2.0,5.0,67.700000000000003,2.6000000000000001,29.699999999999999,0.67699999999999994,7.2587143474094145
2.0,6.0,63.700000000000003,3.3999999999999999,32.899999999999999,0.63700000000000012,8.6626952725648145
2.0,7.0,64.099999999999994,2.5,33.399999999999999,0.6409999999999999,10.366877529278799
